target_index,load_multiplier,side,stored_relative_free_residual,independent_relative_free_residual,fixed_displacement_max,stored_force_balance_absolute,independent_force_balance_absolute,force_balance_scale,force_balance_absolute_tolerance,independent_minimum_J,stored_minimum_J,free_residual_pass,fixed_displacement_pass,balance_pass,positive_J_pass,independent_J_relative_error,independent_reaction_relative_error,independent_J_pass,independent_reaction_pass,independent_solid_energy_relative_error,independent_solid_energy_pass,independent_medium_energy_relative_error,independent_medium_energy_pass,status
1,0.01,python,5.1423845895864454e-11,5.325518670852867e-11,0.0,9.833106942950525e-14,1.0428463792463518e-13,0.03,3e-08,0.9721060633223398,0.9721060633223398,True,True,True,True,7.522804412714832e-17,2.8938191447366387e-13,True,True,1.3238767274711963e-11,True,2.9026025059487518e-15,True,pass
1,0.01,matlab,4.606821625030368e-11,4.981929622752983e-11,0.0,5.149354112812291e-14,6.285250337550236e-14,0.03,3e-08,0.9721060633223401,0.9721060633223401,True,True,True,True,3.001886263620308e-17,2.1103442441164425e-13,True,True,3.521199641198728e-12,True,1.7415615035692642e-15,True,pass
2,0.02,python,2.507473085964704e-11,2.720903285931773e-11,0.0,6.340761287357671e-14,7.216783253021517e-16,0.06,6e-08,0.9441726761386735,0.9441726761386735,True,True,True,True,7.73740430079731e-17,1.4811046611647678e-13,True,True,3.00067732195208e-12,True,1.7130179485518207e-15,True,pass
2,0.02,matlab,2.3967589228656622e-11,2.6323845791963688e-11,0.0,1.5779388016760707e-14,6.869509205302011e-14,0.06,6e-08,0.9441726761386727,0.9441726761386727,True,True,True,True,3.5849507808166795e-17,1.0872816666522628e-13,True,True,1.3936061281486373e-12,True,1.903353276168636e-16,True,pass
3,0.03,python,1.8332084973397834e-11,2.0297446604602866e-11,0.0,1.5599250823083162e-14,3.9690628405993115e-14,0.09,9e-08,0.9162314686740377,0.9162314686740377,True,True,True,True,8.201403834567559e-17,9.840755112457896e-14,True,True,1.127321728641737e-12,True,6.655205949765363e-16,True,pass
3,0.03,matlab,1.736114202292193e-11,1.9505565696826694e-11,0.0,4.2022023978738314e-14,1.6320656084500166e-14,0.09,9e-08,0.916231468674037,0.916231468674037,True,True,True,True,4.376253586448154e-17,6.529522419656504e-14,True,True,1.1330712237120557e-13,True,1.6638014874413134e-16,True,pass
4,0.04,python,1.4767317732493936e-11,1.637285845931761e-11,0.0,1.130762567868079e-13,1.0616509124249888e-13,0.12,1.2e-07,0.8883131927049963,0.8883131927049962,True,True,True,True,8.480676443393004e-17,8.459702217334697e-14,True,True,4.1451592037589564e-13,True,5.52108963750593e-16,True,pass
4,0.04,matlab,1.3685457232800687e-11,1.50502021505611e-11,0.0,1.007806326533037e-13,1.2473370813198794e-13,0.12,1.2e-07,0.8883131927049958,0.8883131927049958,True,True,True,True,5.146353285355692e-17,5.200924663111341e-14,True,True,1.0206135052037246e-12,True,1.8403632125019697e-16,True,pass
5,0.05,python,1.1962352133690524e-11,1.3631994972272805e-11,0.0,4.7517553560140475e-14,3.952394942229188e-14,0.15000000000000002,1.5000000000000002e-07,0.8604475396157051,0.8604475396157052,True,True,True,True,9.350707465670855e-17,5.2408689156111815e-14,True,True,3.164641014074927e-13,True,0.0,True,pass
5,0.05,matlab,4.756151176129612e-09,4.755806775395835e-09,0.0,1.4355310357416233e-13,1.335636972447869e-13,0.15000000000000002,1.5000000000000002e-07,0.8604475396083745,0.8604475396083745,True,True,True,True,6.08733516073295e-17,3.486967249504165e-14,True,True,1.277137111852434e-13,True,1.1578503497062172e-16,True,pass
6,0.060000000000000005,python,1.1812153963206897e-11,1.3607434767012806e-11,0.0,5.88418203051333e-15,2.897873505712517e-14,0.18000000000000002,1.8000000000000002e-07,0.8326630226845516,0.8326630226845515,True,True,True,True,1.0247700819371928e-16,4.917993066734558e-14,True,True,1.218197315382448e-12,True,0.0,True,pass
6,0.060000000000000005,matlab,1.6458412428116116e-09,1.6455198770912804e-09,0.0,6.2112984669845895e-15,1.2965983802299581e-14,0.18000000000000002,1.8000000000000002e-07,0.8326630226798784,0.8326630226798784,True,True,True,True,7.261996838510917e-17,3.4062700513773333e-14,True,True,6.471149116461823e-14,True,0.0,True,pass
7,0.06999999999999999,python,1.1078227335769588e-11,1.1673299176216095e-11,0.0,1.4275111052307953e-14,4.223318884592906e-15,0.20999999999999996,2.0999999999999995e-07,0.8049869316274705,0.8049869316274704,True,True,True,True,1.0604329834844732e-16,3.7102735610224275e-14,True,True,6.55721994831011e-13,True,1.1411552911347605e-16,True,pass
