target_index,load_multiplier,python_index,matlab_index,U_absolute_error,U_denominator,U_relative_error,U_tolerance,U_pass,loaded_displacements_absolute_error,loaded_displacements_denominator,loaded_displacements_relative_error,loaded_displacements_tolerance,loaded_displacements_pass,support_reaction_absolute_error,support_reaction_denominator,support_reaction_relative_error,support_reaction_tolerance,support_reaction_pass,solid_material_energy_absolute_error,solid_material_energy_denominator,solid_material_energy_relative_error,solid_material_energy_tolerance,solid_material_energy_pass,medium_material_energy_absolute_error,medium_material_energy_denominator,medium_material_energy_relative_error,medium_material_energy_tolerance,medium_material_energy_pass,J_field_absolute_error,J_field_denominator,J_field_relative_error,J_field_tolerance,J_field_pass,min_J_absolute_error,min_J_tolerance,min_J_pass,loaded_node_0_ux_absolute_difference,loaded_node_0_uy_absolute_difference,loaded_node_1_ux_absolute_difference,loaded_node_1_uy_absolute_difference,loaded_node_2_ux_absolute_difference,loaded_node_2_uy_absolute_difference,loaded_node_3_ux_absolute_difference,loaded_node_3_uy_absolute_difference,loaded_node_4_ux_absolute_difference,loaded_node_4_uy_absolute_difference,loaded_node_5_ux_absolute_difference,loaded_node_5_uy_absolute_difference,python_validity_pass,matlab_validity_pass,status
1,0.01,0,0,1.96683057971052e-13,11.173725638016597,1.7602280952905555e-14,1e-05,True,1.595589261000449e-14,1.8030251684689265,8.849511858757769e-15,1e-05,True,9.019564622038489e-14,0.14760925728442087,6.110432901006434e-13,0.0001,True,1.1245344933019652e-13,0.010959520157579752,1.0260800446853706e-11,0.0001,True,2.642742795433417e-19,3.501821329727395e-05,7.546766515466812e-15,0.0001,True,1.8821800556866357e-14,128.64967144947246,1.4630274873464155e-16,1e-05,True,2.220446049250313e-16,1e-06,True,2.7547408798511697e-15,5.10702591327572e-15,2.976785484776201e-15,5.440092820663267e-15,3.101685575046531e-15,5.551115123125783e-15,3.337607967779377e-15,5.662137425588298e-15,3.3514857555871913e-15,5.995204332975845e-15,3.406996906818449e-15,6.328271240363392e-15,True,True,pass
2,0.02,1,1,2.886573949068479e-13,22.371052160446997,1.2903165789278648e-14,1e-05,True,4.7553002861549154e-14,3.6096722676184867,1.3173772945576211e-14,1e-05,True,7.136738582376318e-14,0.2954602058555993,2.415465244028249e-13,0.0001,True,8.865130851631875e-14,0.04391559637712375,2.0186748178261896e-12,0.0001,True,4.0115480381963664e-18,0.00014240684927760156,2.8169628487295814e-14,0.0001,True,4.269929876811533e-14,127.91354812925093,3.3381373116919245e-16,1e-05,True,7.771561172376096e-16,1e-06,True,1.3739009929736312e-15,1.7763568394002505e-14,1.3600232051658168e-15,1.8207657603852567e-14,1.4432899320127035e-15,1.9095836023552692e-14,1.4988010832439613e-15,1.9539925233402755e-14,1.7069679003611782e-15,2.042810365310288e-14,1.9567680809018384e-15,2.0872192862952943e-14,True,True,pass
3,0.03,2,2,2.1861981269353858e-13,33.58880245649424,6.508711138978681e-15,1e-05,True,3.629618601394153e-14,5.419303717861118,6.697573692781856e-15,1e-05,True,7.145791169857886e-14,0.4435156165903272,1.6111701375463431e-13,0.0001,True,4.3673398231192095e-14,0.09896335123557665,4.413088045819108e-13,0.0001,True,5.366800753803247e-18,0.0003258207726911132,1.6471634725669004e-14,0.0001,True,4.0297425468001014e-14,127.17565831963378,3.168642962061221e-16,1e-05,True,6.661338147750939e-16,1e-06,True,2.0261570199409107e-15,1.3322676295501878e-14,2.192690473634684e-15,1.3766765505351941e-14,2.4424906541753444e-15,1.4210854715202004e-14,2.581268532253489e-15,1.4654943925052066e-14,2.6645352591003757e-15,1.554312234475219e-14,2.8033131371785203e-15,1.5987211554602254e-14,True,True,pass
4,0.04,3,3,2.6616526764175404e-13,44.82379834656627,5.938034648108835e-15,1e-05,True,3.3651869904117515e-14,7.231271452760057,4.653658782408611e-15,1e-05,True,6.636238819304398e-14,0.5917376093786538,1.1214833591991375e-13,0.0001,True,2.6587065882210936e-13,0.1761691550438127,1.5091782597015248e-12,0.0001,True,2.2768245622195593e-18,0.0005891240191720275,3.864762746254136e-15,0.0001,True,2.3619587154788043e-14,126.43694806338263,1.8680921610783885e-16,1e-05,True,4.440892098500626e-16,1e-06,True,2.55351295663786e-15,1.2878587085651816e-14,2.7200464103316335e-15,1.2878587085651816e-14,2.858824288409778e-15,1.2878587085651816e-14,2.9976021664879227e-15,1.3322676295501878e-14,3.247402347028583e-15,1.3766765505351941e-14,3.3861802251067274e-15,1.4654943925052066e-14,True,True,pass
5,0.05,4,4,2.7696998007430067e-09,56.07286209734052,4.939465718612517e-11,1e-05,True,4.620002957666494e-10,9.044918149621392,5.107843853578577e-11,1e-05,True,2.6662719606001775e-11,0.7400877173889467,3.6026431704702123e-11,0.0001,True,2.792666098372365e-11,0.2755700194912505,1.0134143414904515e-10,0.0001,True,9.567010812033816e-14,0.0009363923176778419,1.0216883064311157e-10,0.0001,True,3.034335790596406e-10,125.69842051610978,2.413980842509886e-12,1e-05,True,7.330691609297446e-12,1e-06,True,1.4760609401420766e-11,1.7288170894858013e-10,1.4717921326123928e-11,1.7880585900797996e-10,1.4656303948257232e-11,1.847548780631314e-10,1.4576839735269687e-11,1.907247693111458e-10,1.4481416066303154e-11,1.9671286821676404e-10,1.4367895762035232e-11,2.0273249745628164e-10,True,True,pass
6,0.060000000000000005,5,5,1.7912950323289913e-09,67.33281758293344,2.660359534372171e-11,1e-05,True,2.9852164611311566e-10,10.859578472762863,2.748924802761397e-11,1e-05,True,1.722581273454648e-11,0.8885269514624267,1.9386933290199594e-11,0.0001,True,2.2013224576511448e-11,0.39717309178814075,5.542476323711702e-11,0.0001,True,7.63061488995298e-14,0.0013719130421200139,5.5620251835797185e-11,0.0001,True,2.001397174075467e-10,124.96112032738849,1.6016159016756258e-12,1e-05,True,4.673150755252209e-12,1e-06,True,7.2379879867412455e-12,1.1187406556700807e-10,7.109979272001965e-12,1.1570477909117471e-10,6.9686478809671826e-12,1.1955059164847626e-10,6.815437103568911e-12,1.234088387036536e-10,6.650929806895078e-12,1.2727863207828705e-10,6.474071279072291e-12,1.31170629913413e-10,True,True,pass
7,0.06999999999999999,6,6,7.855592104588219e-10,78.60049237172093,9.994329383379947e-12,1e-05,True,1.3079345311740572e-10,12.674580326792475,1.0319351784841723e-11,1e-05,True,7.554346820452093e-12,1.0370158644160712,7.28469744742607e-12,0.0001,True,1.1248779685502086e-11,0.5409552511145048,2.079428873705681e-11,0.0001,True,4.0124370839778045e-14,0.001900183403488007,2.1116051622240837e-11,0.0001,True,8.936117098553852e-11,124.22611595098054,7.193428716776456e-13,1e-05,True,2.0228263508670352e-12,1e-06,True,2.173705659913594e-12,4.9054982298457617e-11,2.0737300765460986e-12,5.0738080403789354e-11,1.967259688484546e-12,5.242828393647869e-11,1.855293696451099e-12,5.412292836126653e-11,1.73794312274822e-12,5.582290185657257e-11,1.6147083670148277e-12,5.753264531449531e-11,True,True,pass
8,0.07999999999999999,7,7,2.378757843484438e-10,89.87272208497448,2.646807383040348e-12,1e-05,True,3.927741175322344e-11,14.489246099928538,2.7107974757511473e-12,1e-05,True,2.3377119198192156e-12,1.185514614057177,1.971896332697986e-12,0.0001,True,3.924749414352391e-12,0.7068628071259061,5.552349585785062e-12,0.0001,True,1.423123771604473e-14,0.002525907946537984,5.634107820734363e-12,0.0001,True,2.7300613678751876e-11,123.4944810441634,2.210674796794262e-13,1e-05,True,5.948574965941589e-13,1e-06,True,3.0481173141083673e-13,1.4785506152747985e-11,2.60735877333218e-13,1.5274004283583054e-11,2.1566082253343666e-13,1.5764278771257523e-11,1.6892043319671757e-13,1.6256329615771392e-11,1.2090328738167955e-13,1.674749228186556e-11,7.183142969324763e-14,1.724220766163853e-11,True,True,pass
9,0.09,8,8,1.2684506652393952e-09,101.14635851213768,1.2540744757382241e-11,1e-05,True,2.095545961591507e-10,16.302893898303807,1.2853828128081804e-11,1e-05,True,1.2168237710098486e-11,1.3339830249371174,9.121733547300637e-12,0.0001,True,2.293876200099021e-11,0.8948113004947577,2.5635306559390728e-11,0.0001,True,8.768680226367565e-14,0.003253996511868816,2.694741741235484e-11,0.0001,True,1.4766694764218882e-10,122.7672761202268,1.2028201024642562e-12,1e-05,True,3.1505908992812692e-12,1e-06,True,1.2506662372402388e-13,7.8760997723748e-11,1.7857937351095643e-13,8.141487484181198e-11,4.918287999089443e-13,8.407852192249265e-11,8.141265439576273e-13,8.674927443053093e-11,1.1444178937836114e-12,8.942535600908741e-11,1.4849788065873781e-12,9.211653662077879e-11,True,True,pass
10,0.09999999999999999,9,9,2.296146271278093e-09,112.41828276523434,2.0425025314371573e-11,1e-05,True,3.7795571509305724e-10,18.114838761573065,2.0864426124223262e-11,1e-05,True,2.1892255889122173e-11,1.4823806482735677,1.476830928319164e-11,0.0001,True,4.607714210180802e-11,1.1046854041522316,4.171064624246483e-11,0.0001,True,1.8080502373063467e-13,0.004089563748129418,4.421132298361545e-11,0.0001,True,2.6943484730236696e-10,122.04553149036552,2.207658437077941e-12,1e-05,True,5.625611088078131e-12,1e-06,True,2.7278179715040096e-12,1.4200551845533482e-10,3.4041103269544237e-12,1.467874710670003e-10,4.098776873462384e-12,1.5158541089022037e-10,4.810929432608191e-12,1.5639667338973595e-10,5.538403069493825e-12,1.6122125856554703e-10,6.285194587007936e-12,1.6606893638027032e-10,True,True,pass
