target_index,load_multiplier,side,stored_relative_free_residual,independent_relative_free_residual,fixed_displacement_max,stored_force_balance_absolute,independent_force_balance_absolute,force_balance_scale,force_balance_absolute_tolerance,independent_minimum_J,stored_minimum_J,free_residual_pass,fixed_displacement_pass,balance_pass,positive_J_pass,independent_J_relative_error,independent_reaction_relative_error,independent_J_pass,independent_reaction_pass,independent_solid_energy_relative_error,independent_solid_energy_pass,independent_medium_energy_relative_error,independent_medium_energy_pass,status
1,0.01,python,4.670908535476108e-11,5.016734557153839e-11,0.0,5.0584964884454465e-15,1.7402762857053742e-14,0.03,3e-08,0.9721060633223404,0.9721060633223404,True,True,True,True,7.542084179643483e-17,3.027484587243897e-13,True,True,4.0497278136923014e-11,True,5.805205011897658e-16,True,pass
1,0.01,matlab,4.606821625030368e-11,4.981929622752983e-11,0.0,5.149354112812291e-14,6.285250337550236e-14,0.03,3e-08,0.9721060633223401,0.9721060633223401,True,True,True,True,3.001886263620308e-17,2.1103442441164425e-13,True,True,3.521199641198728e-12,True,1.7415615035692642e-15,True,pass
2,0.02,python,2.5852662626355844e-11,2.798517139256466e-11,0.0,2.8171951122467857e-14,4.535261904907504e-14,0.06,6e-08,0.9441726761386731,0.9441726761386731,True,True,True,True,7.917379185815546e-17,1.2198039798528151e-13,True,True,1.986283745687972e-12,True,1.3323472933180698e-15,True,pass
2,0.02,matlab,2.3967589228656622e-11,2.6323845791963688e-11,0.0,1.5779388016760707e-14,6.869509205302011e-14,0.06,6e-08,0.9441726761386727,0.9441726761386727,True,True,True,True,3.5849507808166795e-17,1.0872816666522628e-13,True,True,1.3936061281486373e-12,True,1.903353276168636e-16,True,pass
3,0.03,python,1.8655507353992577e-11,2.055913228818533e-11,0.0,7.732703366514215e-14,4.7656331414612967e-14,0.09,9e-08,0.9162314686740376,0.9162314686740376,True,True,True,True,8.266194173168051e-17,9.763439724789746e-14,True,True,2.6104109937373358e-12,True,6.655205949765338e-16,True,pass
3,0.03,matlab,1.736114202292193e-11,1.9505565696826694e-11,0.0,4.2022023978738314e-14,1.6320656084500166e-14,0.09,9e-08,0.916231468674037,0.916231468674037,True,True,True,True,4.376253586448154e-17,6.529522419656504e-14,True,True,1.1330712237120557e-13,True,1.6638014874413134e-16,True,pass
4,0.04,python,1.5006515000055602e-11,1.6325448765952793e-11,0.0,3.264185794065804e-14,2.1171246443165348e-15,0.12,1.2e-07,0.8883131927049964,0.8883131927049963,True,True,True,True,8.558957789677115e-17,7.075587060764681e-14,True,True,8.584938236892133e-13,True,3.6807264250039754e-16,True,pass
4,0.04,matlab,1.3685457232800687e-11,1.50502021505611e-11,0.0,1.007806326533037e-13,1.2473370813198794e-13,0.12,1.2e-07,0.8883131927049958,0.8883131927049958,True,True,True,True,5.146353285355692e-17,5.200924663111341e-14,True,True,1.0206135052037246e-12,True,1.8403632125019697e-16,True,pass
5,0.05,python,1.2843004031135678e-11,1.510196034606828e-11,0.0,2.8088697375879137e-14,2.120525977034049e-14,0.15000000000000002,1.5000000000000002e-07,0.8604475396157052,0.8604475396157054,True,True,True,True,9.354044025086826e-17,5.742332505517236e-14,True,True,2.2581556822275436e-13,True,1.1578503498245133e-16,True,pass
5,0.05,matlab,4.756151176129612e-09,4.755806775395835e-09,0.0,1.4355310357416233e-13,1.335636972447869e-13,0.15000000000000002,1.5000000000000002e-07,0.8604475396083745,0.8604475396083745,True,True,True,True,6.08733516073295e-17,3.486967249504165e-14,True,True,1.277137111852434e-13,True,1.1578503497062172e-16,True,pass
