target_index,load_multiplier,python_index,matlab_index,U_absolute_error,U_denominator,U_relative_error,U_tolerance,U_pass,loaded_displacements_absolute_error,loaded_displacements_denominator,loaded_displacements_relative_error,loaded_displacements_tolerance,loaded_displacements_pass,support_reaction_absolute_error,support_reaction_denominator,support_reaction_relative_error,support_reaction_tolerance,support_reaction_pass,solid_material_energy_absolute_error,solid_material_energy_denominator,solid_material_energy_relative_error,solid_material_energy_tolerance,solid_material_energy_pass,medium_material_energy_absolute_error,medium_material_energy_denominator,medium_material_energy_relative_error,medium_material_energy_tolerance,medium_material_energy_pass,J_field_absolute_error,J_field_denominator,J_field_relative_error,J_field_tolerance,J_field_pass,min_J_absolute_error,min_J_tolerance,min_J_pass,loaded_node_0_ux_absolute_difference,loaded_node_0_uy_absolute_difference,loaded_node_1_ux_absolute_difference,loaded_node_1_uy_absolute_difference,loaded_node_2_ux_absolute_difference,loaded_node_2_uy_absolute_difference,loaded_node_3_ux_absolute_difference,loaded_node_3_uy_absolute_difference,loaded_node_4_ux_absolute_difference,loaded_node_4_uy_absolute_difference,loaded_node_5_ux_absolute_difference,loaded_node_5_uy_absolute_difference,python_validity_pass,matlab_validity_pass,status
1,0.01,0,0,2.945492915666637e-13,11.173725638016597,2.6360884552643082e-14,1e-05,True,3.789651860595027e-14,1.8030251684689265,2.1018297064666506e-14,1e-05,True,9.253742789872633e-14,0.14760925728442087,6.269080246127152e-13,0.0001,True,4.0939647505400245e-13,0.010959520157579752,3.735532844208132e-11,0.0001,True,6.640738306473715e-19,3.501821329727395e-05,1.896366970553199e-14,0.0001,True,2.3830000381752657e-14,128.64967144947246,1.8523172358906458e-16,1e-05,True,3.3306690738754696e-16,1e-06,True,2.1441182163073336e-15,1.4099832412739488e-14,2.275957200481571e-15,1.4654943925052066e-14,2.5049406993105094e-15,1.509903313490213e-14,2.824129818890242e-15,1.5432100042289676e-14,2.858824288409778e-15,1.587618925213974e-14,3.073929999430902e-15,1.6209256159527285e-14,True,True,pass
2,0.02,1,1,2.149064329298713e-13,22.371052160446997,9.606451738994883e-15,1e-05,True,3.325995919902599e-14,3.6096722676184867,9.214121596964132e-15,1e-05,True,6.003748186129461e-14,0.2954602058555993,2.031998918007822e-13,0.0001,True,2.856048730848215e-14,0.04391559637712375,6.503495264693641e-13,0.0001,True,2.6291902682773483e-18,0.00014240684927760156,1.846252677883577e-14,0.0001,True,3.183185795477703e-14,127.91354812925093,2.488544678833579e-16,1e-05,True,3.3306690738754696e-16,1e-06,True,2.4424906541753444e-15,1.2434497875801753e-14,2.456368441983159e-15,1.2656542480726785e-14,2.6506574712925612e-15,1.3100631690576847e-14,2.6922908347160046e-15,1.3322676295501878e-14,2.8449465006019636e-15,1.3766765505351941e-14,3.1780134079895106e-15,1.4432899320127035e-14,True,True,pass
3,0.03,2,2,1.7157291554055938e-13,33.58880245649424,5.108039078284749e-15,1e-05,True,1.8037259306043955e-14,5.419303717861118,3.3283351967515986e-15,1e-05,True,6.631431774273243e-14,0.4435156165903272,1.495196905411035e-13,0.0001,True,1.0533240946131173e-14,0.09896335123557665,1.0643577460364484e-13,0.0001,True,4.065758146820642e-18,0.0003258207726911132,1.2478511155809851e-14,0.0001,True,3.527715098746953e-14,127.17565831963378,2.7738917536252557e-16,1e-05,True,5.551115123125783e-16,1e-06,True,2.55351295663786e-15,6.217248937900877e-15,2.6922908347160046e-15,6.661338147750939e-15,2.886579864025407e-15,6.217248937900877e-15,3.0531133177191805e-15,6.661338147750939e-15,3.1363800445660672e-15,7.105427357601002e-15,3.247402347028583e-15,7.549516567451064e-15,True,True,pass
4,0.04,3,3,2.9261195936247857e-13,44.82379834656627,6.528049164867219e-15,1e-05,True,4.438523569333905e-14,7.231271452760057,6.1379573403233175e-15,1e-05,True,6.367684701771812e-14,0.5917376093786538,1.0760993725678709e-13,0.0001,True,1.1493583862431933e-13,0.1761691550438127,6.524174938327607e-13,0.0001,True,5.7462715141731735e-18,0.0005891240191720275,9.75392502626044e-15,0.0001,True,3.357759367321969e-14,126.43694806338263,2.6556789124953647e-16,1e-05,True,5.551115123125783e-16,1e-06,True,2.275957200481571e-15,1.687538997430238e-14,2.4147350785597155e-15,1.687538997430238e-14,2.4980018054066022e-15,1.7319479184152442e-14,2.609024107869118e-15,1.8207657603852567e-14,2.7755575615628914e-15,1.865174681370263e-14,2.7478019859472624e-15,1.9539925233402755e-14,True,True,pass
5,0.05,4,4,2.769757007946323e-09,56.07286209734052,4.939567741589723e-11,1e-05,True,4.620098603366812e-10,9.044918149621392,5.10794959881445e-11,1e-05,True,2.6675173669282087e-11,0.7400877173889467,3.604325952522622e-11,0.0001,True,2.804145804446989e-11,0.2755700194912505,1.0175801451928346e-10,0.0001,True,9.567010812033816e-14,0.0009363923176778419,1.0216883064311157e-10,0.0001,True,3.03433853685816e-10,125.69842051610978,2.413983027312004e-12,1e-05,True,7.330913653902371e-12,1e-06,True,1.4761247779659925e-11,1.7288481757304908e-10,1.4718337659758163e-11,1.788089676324489e-10,1.4656803548618313e-11,1.847584307768102e-10,1.4577339335630768e-11,1.9072876611403444e-10,1.4481915666664236e-11,1.9671730910886254e-10,1.4368284340093851e-11,2.0273738243758999e-10,True,True,pass
6,0.060000000000000005,5,5,1.7913974078369168e-09,67.33281758293344,2.6605115783703285e-11,1e-05,True,2.985379236918786e-10,10.859578472762863,2.7490746942033508e-11,1e-05,True,1.72216692039168e-11,0.8885269514624267,1.9382269919411732e-11,0.0001,True,2.178562885646329e-11,0.39717309178814075,5.4851724114492973e-11,0.0001,True,7.631222043169572e-14,0.0013719130421200139,5.562467743128284e-11,0.0001,True,2.001569498871255e-10,124.96112032738849,1.6017538044051603e-12,1e-05,True,4.6734838221595965e-12,1e-06,True,7.238043497892477e-12,1.1188117099436568e-10,7.10975722739704e-12,1.1571099634011262e-10,6.96853685866472e-12,1.1955680889741416e-10,6.815215058963986e-12,1.234150559525915e-10,6.6510685847731565e-12,1.2728573750564465e-10,6.474154545799138e-12,1.311777353407706e-10,True,True,pass
7,0.06999999999999999,6,6,7.85435707066907e-10,78.60049237172093,9.9927581032494e-12,1e-05,True,1.3077496275330776e-10,12.674580326792475,1.0317892930692614e-11,1e-05,True,7.55349778949048e-12,1.0370158644160712,7.283878722283334e-12,0.0001,True,1.131028604106632e-11,0.5409552511145048,2.0907988262918728e-11,0.0001,True,4.011938350978461e-14,0.001900183403488007,2.111342696507128e-11,0.0001,True,8.935021319297579e-11,124.22611595098054,7.192546632322729e-13,1e-05,True,2.0227153285645727e-12,1e-06,True,2.1737611710648252e-12,4.9047876871100016e-11,2.0736745653948674e-12,5.073097497643175e-11,1.9673707107870086e-12,5.242029033070139e-11,1.8553492076023304e-12,5.411582293390893e-11,1.7380541450506826e-12,5.581490825079527e-11,1.6146528558635964e-12,5.752465170871801e-11,True,True,pass
8,0.07999999999999999,7,7,2.379407293996038e-10,89.87272208497448,2.6475300166676967e-12,1e-05,True,3.928431943301544e-11,14.489246099928538,2.7112742210382633e-12,1e-05,True,2.332905376958622e-12,1.185514614057177,1.9678419391008087e-12,0.0001,True,4.145017662438022e-12,0.7068628071259061,5.863963446162351e-12,0.0001,True,1.4233406120389702e-14,0.002525907946537984,5.6349662860430236e-12,0.0001,True,2.7303527354953533e-11,123.4944810441634,2.2109107325362501e-13,1e-05,True,5.945244296867713e-13,1e-06,True,3.047007091083742e-13,1.4788170688007085e-11,2.6068036618198676e-13,1.5276668818842154e-11,2.1566082253343666e-13,1.5766943306516623e-11,1.6892043319671757e-13,1.6258994151030493e-11,1.212363542890671e-13,1.6750156817124662e-11,7.222000775186643e-14,1.7245760375317332e-11,True,True,pass
9,0.09,8,8,1.268460495146972e-09,101.14635851213768,1.2540841942369633e-11,1e-05,True,2.0955639450756115e-10,16.302893898303807,1.2853938436620992e-11,1e-05,True,1.2177168100224042e-11,1.3339830249371174,9.128428077859583e-12,0.0001,True,2.306277391284084e-11,0.8948113004947577,2.577389657471805e-11,0.0001,True,8.769374115757955e-14,0.003253996511868816,2.694954983440219e-11,0.0001,True,1.4767959734567877e-10,122.7672761202268,1.2029231405366946e-12,1e-05,True,3.1510349884911193e-12,1e-06,True,1.2523315717771766e-13,7.87618859021677e-11,1.783573289060314e-13,8.141576302023168e-11,4.917177776064818e-13,8.407941010091236e-11,8.140155216551648e-13,8.674927443053093e-11,1.1439738045737613e-12,8.942624418750711e-11,1.484534717377528e-12,9.211742479919849e-11,True,True,pass
10,0.09999999999999999,9,9,2.2962084384643677e-09,112.41828276523434,2.042557831326771e-11,1e-05,True,3.77965156256451e-10,18.114838761573065,2.0864947308182893e-11,1e-05,True,2.1900237501070066e-11,1.4823806482735677,1.4773693603310222e-11,0.0001,True,4.6062265113278045e-11,1.1046854041522316,4.1697179070296124e-11,0.0001,True,1.808110952628006e-13,0.004089563748129418,4.421280762416389e-11,0.0001,True,2.6944488922041895e-10,122.04553149036552,2.2077407171739784e-12,1e-05,True,5.627165400312606e-12,1e-06,True,2.727706949201547e-12,1.4200907116901362e-10,3.4038327711982674e-12,1.467901356022594e-10,4.098277273101303e-12,1.5158896360389917e-10,4.810707388003266e-12,1.5640200246025415e-10,5.538403069493825e-12,1.6122569945764553e-10,6.285055809129858e-12,1.6607248909394912e-10,True,True,pass
