case_family,d_mm,status,metric,absolute_error,scale,relative_error
inverter,0.001,success,output_gain,8.001198947948929e-05,1.6018403565712864,4.995003974725276e-05
inverter,0.001,success,input_stiffness,5.039739642997976e-06,0.16986763319081177,2.9668628144932425e-05
inverter,0.001,success,solid_displacement_gain,0.0011153352835721227,35.399149506091895,3.150740340188633e-05
inverter,0.0001,success,output_gain,8.001159865989038e-06,1.6018403565712864,4.9949795765636675e-06
inverter,0.0001,success,input_stiffness,5.039440417464736e-07,0.16986763319081177,2.9666866623166218e-06
inverter,0.0001,success,solid_displacement_gain,0.00011153299083517715,35.399149506091895,3.150725155585539e-06
inverter,1e-05,success,output_gain,8.001175526572979e-07,1.6018403565712864,4.994989353183339e-07
inverter,1e-05,success,input_stiffness,5.039219874714007e-08,0.16986763319081177,2.9665568301958194e-07
inverter,1e-05,success,solid_displacement_gain,1.1153302968289763e-05,35.399149506091895,3.150726253005139e-07
gripper,0.001,success,output_gain,1.8055558179908004e-05,1.1436976291654457,1.5787003242354464e-05
gripper,0.001,success,input_stiffness,7.137004913226885e-06,0.20840493663983262,3.424585342506125e-05
gripper,0.001,success,solid_displacement_gain,0.0015661227475007146,26.744659843685145,5.8558334884580784e-05
gripper,0.0001,success,output_gain,1.8055994697174782e-06,1.1436976291654457,1.5787384914271625e-06
gripper,0.0001,success,input_stiffness,7.13651218869904e-07,0.20840493663983262,3.4243489159915766e-06
gripper,0.0001,success,solid_displacement_gain,0.00015661174027298727,26.744659843685145,5.855813504016798e-06
gripper,1e-05,success,output_gain,1.8056182504722074e-07,1.1436976291654457,1.5787549125110663e-07
gripper,1e-05,success,input_stiffness,7.13633951376913e-08,0.20840493663983262,3.424266060502309e-07
gripper,1e-05,success,solid_displacement_gain,1.5661175692383315e-05,26.744659843685145,5.855814126602615e-07
