case_id,direction,h,relative_error,minimum_J_minus,minimum_J_plus,admissible,direction_length,tangent_direction_norm
element_a_field0_solid,sin,0.01,5.798718724922459e-05,0.6813513448491991,0.6786326291480997,True,1.4142135623730951,126.54479616440051
element_a_field0_solid,sin,0.001,5.79837057440102e-07,0.6801358556550414,0.6798639840849314,True,1.4142135623730951,126.54479616440051
element_a_field0_solid,sin,0.0001,5.798148375023499e-09,0.6800135927772054,0.6799864056201944,True,1.4142135623730951,126.54479616440051
element_a_field0_solid,sin,1e-05,5.502516287849504e-11,0.6800013593498375,0.6799986406341364,True,1.4142135623730951,126.54479616440051
element_a_field0_solid,sin,1e-06,5.2787307278193076e-11,0.680000135935705,0.6799998640641348,True,1.4142135623730951,126.54479616440051
element_a_field0_solid,cos,0.01,0.0001331548872723878,0.6829574046470388,0.6770216137547727,True,1.4142135623730951,213.5821797276296
element_a_field0_solid,cos,0.001,1.3313236180052308e-06,0.6802966846366223,0.6797031055473957,True,1.4142135623730951,213.5821797276296
element_a_field0_solid,cos,0.0001,1.3313080342631032e-08,0.6800296779053814,0.6799703199964587,True,1.4142135623730951,213.5821797276296
element_a_field0_solid,cos,1e-05,1.3773355842715488e-10,0.6800029678849553,0.679997032094063,True,1.4142135623730951,213.5821797276296
element_a_field0_solid,cos,1e-06,3.442283041886583e-11,0.6800002967894397,0.6799997032103504,True,1.4142135623730951,213.5821797276296
element_a_field0_tm,sin,0.01,6.431341102253874e-05,0.6813513448491991,0.6786326291480997,True,1.4142135623730951,0.0001302446882837324
element_a_field0_tm,sin,0.001,6.430918616172252e-07,0.6801358556550414,0.6798639840849314,True,1.4142135623730951,0.0001302446882837324
element_a_field0_tm,sin,0.0001,6.4305692037745e-09,0.6800135927772054,0.6799864056201944,True,1.4142135623730951,0.0001302446882837324
element_a_field0_tm,sin,1e-05,6.152768472230617e-11,0.6800013593498375,0.6799986406341364,True,1.4142135623730951,0.0001302446882837324
element_a_field0_tm,sin,1e-06,7.218003787807811e-11,0.680000135935705,0.6799998640641348,True,1.4142135623730951,0.0001302446882837324
element_a_field0_tm,cos,0.01,0.00014557574930046667,0.6829574046470388,0.6770216137547727,True,1.4142135623730951,0.00022181569194217233
