version,gamma_index,mesh_index,gamma,mesh_size_mm,index,d_mm,force_N,gap_mm,production_relative_residual,hp_relative_residual,force_reference_error_over_bound,gap_reference_error_over_bound,evaluation_full_value,evaluation_free_value,is_original_target,bisection_depth,audit_status
old,0,0,1e-06,0.125,0,0.0,0.0,0.25,0.0,0E-121,0E+10,0E+5,0E-121,,True,0,pass
old,0,0,1e-06,0.125,1,0.125,1.3766605864193743e-06,0.1250020453223576,1.5588234809160495e-10,1.7428654095837386267861705207327594762102421161789E-10,2.937563590740111939866263305177614189887207627373293712318908954679391054476352675591386679759950055E-7,1.339425116244478016625515751774954080374121665954589843750E-8,5.3065549255011090938759349162107845936168770508794136487582442744589772849809710E-11,,True,0,pass
old,0,0,1e-06,0.125,2,0.21875,1.2615876663129579e-05,0.031268743425072326,3.2537147929634227e-11,3.2576987887264704036379540488522048259606892103658E-11,8.890667769460785964074741895026902896450900006435816640692506935278165858247943804734204798686633461E-7,6.554280530132538451025944005011910966801357269287109375E-8,3.1033953972507617470137356690673600287316251020310305593195598640442916637573242E-12,,True,0,pass
old,0,0,1e-06,0.125,3,0.25,0.0007670750871516428,0.001139051636874111,8.232176572068642e-13,8.1587624331077866117169413918581330493932170642107E-13,0.000001364790565864997034394407813202601706434097456622607984859757277676048938801112872348723220662855198,0.0000020076933647201628182416507376398883909007568359375,1.1216724600632683335792264239409136514336768194703458719900802171593227548154621E-13,,True,0,pass
old,0,0,1e-06,0.125,4,0.251953125,0.0017015333971734268,0.0005719029803636089,5.352168194692813e-13,5.3533223353815730123462856721862175334113138749990E-13,9.188221370348726728666004743494494733298076786452086798761301771513335539557112738808845289098696559E-7,5.81070072594795028383065480588850142709228515625E-8,3.0528405619632349801329742652321265580958170504739894027567088974888838256013545E-14,,False,4,pass
old,0,0,1e-06,0.125,5,0.25390625,0.002877998040746849,0.0003611569418703331,3.1689524242071704e-13,3.1722196713398400405799650923420573198096195763590E-13,5.992679777849801554733647376945628358376663042093999813695291377974475493305120907078077852906276967E-7,2.3468358820350263943851615732789969223193359375E-8,2.6470064001540423667081068066957894100829566916650575316247933833601804444082544E-14,,False,4,pass
old,0,0,1e-06,0.125,6,0.2578125,0.005417733585448487,0.00020670829194729956,2.653488078637174e-13,2.2348128360014277975730493519462107213301074620847E-13,6.805834149472324315558145440622727074850059382580765077941053418587282483340483250869982492725090656E-8,8.58891736750558282304511092669797497720703125E-9,1.2601489593538020177848159766682457493254259935245984231260670785612881115250849E-13,,False,3,pass
old,0,0,1e-06,0.125,7,0.265625,0.01067106155595183,0.00011309747324428354,1.854372568738148e-13,2.2986529709211408984595472680485609904137408917255E-13,5.850390573601479049262033962155455210008378659441256647911747513425839054047161091975601893558109026E-8,6.037751938346464284068864135679676919843750E-9,6.8138674180218693529594190095374770531059406864876515775137317867083565090673640E-14,,False,2,pass
old,0,0,1e-06,0.125,8,0.28125,0.021386458421013013,6.063552429835806e-05,9.808230590379133e-13,1.1363128237485890265010523456883671783628371887922E-12,1.270958744923418143798552546581491640400956955570768950033748487989318308155745511721106121369466729E-8,2.68886230909947781295013823811824485118703125E-7,2.3869327059548612363760445653781561359700589977013382803504091738876892732842966E-13,,True,1,pass
old,0,0,1e-06,0.125,9,0.3046875,0.03779960804006177,3.626775197743126e-05,8.31112838924921e-11,8.3121501432418708127243551177412115173061371347633E-11,5.532102754550822537387492124138334657030463311084297524899361861617587639950039182568134690091396285E-7,0.000012709197719093861063279288106998761286160312500,5.6313202963503470985729564804324582652011771620255151071439873737614259082799142E-13,,False,2,pass
old,0,0,1e-06,0.125,10,0.328125,0.054600159321596994,2.598848430879208e-05,9.390534030588481e-13,1.8322461135389022892473364261597733467767844666403E-12,2.868911107972955105987121252752908747135872813873290085336437544884845634775264199949244748293930263E-8,2.94943651052020670860962067747357815515625E-9,1.0186437988371903854539780050992803047100672421491979667811472550645461359303055E-12,,False,2,pass
old,0,0,1e-06,0.125,11,0.375,0.08940812031628323,1.659441528545358e-05,1.7724782145751142e-12,2.0390888822570752960538644282283799214780806360153E-12,5.828036493117180940809710204191293225602831826209339025785104273375272025233054374702866075601814944E-9,6.62711527726374176838745027800968520847500E-8,1.0541901862053614544400213282528099333522722618420534857599452125635465353124874E-12,,True,1,pass
old,0,1,1e-06,0.0625,0,0.0,0.0,0.25,0.0,0E-123,0E+10,0E+4,0E-123,,True,0,pass
old,0,1,1e-06,0.0625,1,0.125,1.3766605865190098e-06,0.1250020453223576,3.2253717140496303e-10,3.1761561072456500879372591736689445215197237066610E-10,7.012281529076095345929652076474343822276052983915606284055797650543773388696389062263200074203840945E-7,1.609551853356890650103564096434994897081375122070312500000E-8,4.2778543878240079577077933892722268847519342955689053624512695604377789913659312E-11,,True,0,pass
old,0,1,1e-06,0.0625,2,0.21875,1.2615876663129579e-05,0.031268743425072354,6.115552978586959e-11,6.1545205923454523626186634904570555239514845198569E-11,8.890667769460785964074741895026902896450900006435816640692506935278165858247943804734204798686633461E-7,3.78804368161420828241361049025045491579055786132812500E-10,8.8888757240049180424932609347867750700871108222870484582565849236784674314920397E-12,,True,0,pass
old,0,1,1e-06,0.0625,3,0.25,0.000767075087151842,0.001139051636874111,2.05315707499738e-12,2.0514787368797213235820653307192507442171962031750E-12,2.370718811767131576231481826600817539571563953463823752509813301332153807706552610210612615745458338E-7,0.000002001906435624521438325135958315245077016021728515625,9.6212204725929528764364641100847285837050705920840436833528625086758031089652885E-14,,True,0,pass
old,0,1,1e-06,0.0625,4,0.251953125,0.0017015333971734268,0.0005719029803636089,1.0636389886721728e-12,1.0544604920587219552218274105425348018063440786951E-12,9.188221370348726728666004743494494733298076786452086798761301771513335539557112738808845289098696559E-7,6.344670295897061217579325310316947719969482421875E-8,6.9509425505336192337595459143945826644236593043675751430810297986437232280692761E-14,,False,4,pass
old,0,1,1e-06,0.0625,5,0.25390625,0.0028779980407474485,0.0003611569418703886,8.006844222416477e-13,8.0038891582683165515876312509845425325418199696371E-13,9.462381175056841600539896474269696241405333143161936013042244909163222105610087436879126874600692701E-7,2.73714866412980799062784458159217593843261718750E-8,1.0155382215947050314012147352527562829356683214115000346043705167256286204421709E-13,,False,4,pass
old,0,1,1e-06,0.0625,6,0.2578125,0.005417733585449089,0.00020670829194729956,1.167521009171211e-12,1.1611201827680769224781956141605312744731460380269E-12,8.698881128872442463033756647294451605797065361263279367216356128075592430835431167717210344741884874E-7,1.09047018347171648266763517967690700712490234375E-7,3.3070919952567790111259572036706108528437704299530367925657573309281040812682667E-14,,False,3,pass
old,0,1,1e-06,0.0625,7,0.265625,0.01067106155595183,0.00011309747324433905,5.905588862823924e-13,3.6919340153777037338379244987875126042646379015545E-13,5.850390573601479049262033962155455210008378659441256647911747513425839054047161091975601893558109026E-8,1.51450501872247015297314676629871872958203125E-8,3.5889047803726455470472972262724390794483176859304873611052748456948386392165418E-13,,False,2,pass
old,0,1,1e-06,0.0625,8,0.28125,0.021386458421012392,6.063552429835806e-05,1.8272360886722926e-12,1.4835494748633666819322198970144920750910486671934E-12,2.647041028809736443258402861673774221886245328252262780494297545700031471167223739650684388961996610E-7,2.129413988096957525002292592869354928091328125E-7,6.9097444157337263216425528130357857249775813482062987744009337432617888841818921E-13,,True,1,pass
old,0,1,1e-06,0.0625,9,0.3046875,0.037799608040061154,3.6267751977403506e-05,8.328528066654209e-11,8.3386007302572074735055858371784670206372527703882E-11,7.123772332269386415260995947226309074646528683951805690390663461012455474025146758918110680169307477E-7,0.0000127334838477575363626010550497382479804962500000,7.8029461445750146217383741984201563808418125430451161676214249139660727495362543E-13,,False,2,pass
old,0,1,1e-06,0.0625,10,0.328125,0.054600159321596994,2.598848430879208e-05,1.0173526654789381e-12,1.2467767743246576769729607658445710489923944635669E-12,2.868911107972955105987121252752908747135872813873290085336437544884845634775264199949244748293930263E-8,6.8174226004528884162279283059594598114375000E-8,5.5778760577502690453069644105820531292809814485707045319817540589070062159488927E-13,,False,2,pass
old,0,1,1e-06,0.0625,11,0.375,0.08940812031628324,1.659441528545358e-05,7.478000169064053e-12,6.8318197810518773648266527767865891978874771192121E-12,4.293020859647037054352005484138089547983984193815684636437716238298908893489299416406459036120592701E-9,1.42294484933332048515167683383396499363125E-8,2.5751573244785363668245667030018685139636383504078347732339283132195788851686060E-12,,True,1,pass
old,1,0,1e-07,0.125,0,0.0,0.0,0.25,0.0,0E-124,0E+10,0E+5,0E-124,,True,0,pass
old,1,0,1e-07,0.125,1,0.125,1.3767035152390332e-07,0.12500020453878855,9.128817177835483e-10,8.7246851732691201023442281654066419863326733352080E-10,9.114337844051472851894179260214770498221646512091867059867160226064091979919856172013382792988615975E-8,1.825864548446712084113820154411988057944439351558685302734375E-9,2.0825037977125830960305600990180691863434271631214638474806934525098535493412628E-10,,True,0,pass
old,1,0,1e-07,0.125,2,0.21875,1.2625228042544005e-06,0.031251875746532654,2.872380629894517e-10,2.8723788172841274338283809729156439528109816065279E-10,6.445055277134052988345450250502601265674112042815071655067458794664106310544551454994665341334604662E-7,3.029291349468565444361255544448722921255242824554443359375E-8,5.7382821110102670873983946683659556907368115570842623968135371908813284862489490E-16,,True,0,pass
old,1,0,1e-07,0.125,3,0.25,0.00026307312618366547,0.0003907805849472368,7.926518505882234e-15,2.2325101514146035496106931713566995027266639994743E-14,9.134537107828468459549056984067213395207985559945984522583498002894286287040435104623179138792462102E-9,7.173678468391819269259732693938563799927978515625E-9,1.7571282999255173184071957754058947440336305387391801346108877241230306858258479E-14,,True,0,pass
old,1,0,1e-07,0.125,4,0.25048828125,0.0004828666687077374,0.00022888176623026002,4.4999374691379014e-10,4.5002291500792441386892716278533146357607438175284E-10,0.0003758945856931879854821790990262718273059152028484397290842794649201469594064005968690408559155214306,0.000332450662358207196275514147573068454998095214843750000,5.8102237254351562433524194218904226645567411467783511644241680856052892560728025E-14,,False,6,pass
old,1,0,1e-07,0.125,5,0.2509765625,0.0007606422386093833,0.0001529418275568739,6.898160178287854e-12,6.8439487800087461379299438426173036042524330367553E-12,0.000002333014985500245336860921681423990010684666309055333957504964204959106782433565777515840543968582403,0.0000037157981275414967767304877475290403739350000,1.1625258149835314412794349081322839413601838645205225833546105860186196667069040E-13,,False,6,pass
old,1,0,1e-07,0.125,6,0.251953125,0.0013765277095703723,9.006138346767667e-05,4.965990823877479e-11,4.9737957474011019239610335913478034320110331866231E-11,0.00001374686848773627680052767533610553218327387599671828853120586798128816243583315944731537597902468312,0.0000180933563458223344712668923590803439921747343750000,1.5492140943132854405113885581965579717614901890797445185019183528395587574178292E-13,,False,5,pass
old,1,0,1e-07,0.125,7,0.25390625,0.0026675532225060375,4.968949239636533e-05,9.947193766860605e-11,9.9364550178505090613013378522201331100579467029298E-11,0.000009696048792044528396753691849320679638546294455727160764114948337550100470541191348639839987504909810,0.000020586612867494836818544646388434310833050343750000,2.1520266959268629417273927243980504891951061866741949612520498715159541937672527E-13,,False,4,pass
old,1,0,1e-07,0.125,8,0.2578125,0.005295689061469959,2.6719376067685374e-05,7.167061500003847e-13,7.8479182886775903774954718656746612285580346167771E-13,4.555248702806748861843742149633158470423412682572607398748533606484057445890750261854182625308908345E-7,4.707551889336343823935337648516651403210156250E-8,3.7804180858303995732529955460235799102762937859629351934378464362758343385699967E-13,,False,3,pass
old,1,0,1e-07,0.125,9,0.265625,0.01060351555083723,1.420388086414981e-05,9.141880812951263e-11,9.1476434106452960899342294437013343965996142969231E-11,6.825454162507944534899765983646581166315886394532875201712209572958049587100325855519418720115817782E-7,0.0000055364522867657871605045356249411535752479921875,8.6935751475857577665883182002152335560910198561442452673957219829588868711559725E-13,,False,2,pass
old,1,0,1e-07,0.125,10,0.28125,0.021349617461631207,7.487097113123564e-06,3.5228833839184505e-12,5.7103246371650631830965302310360500241677258000735E-12,3.722239129631164619149569351575528043383543779209664513830782193545735025564421417277406701195838269E-8,8.200939642679444381149264945658824814281250E-8,2.6076689976983308318851202877677198895231691363216268515403183046838636411009753E-12,,True,1,pass
old,1,0,1e-07,0.125,11,0.3046875,0.03777703758447279,4.431543850991204e-06,2.5934956990097814e-10,2.6152162700461987805828384111703446949198895292797E-10,2.207092319873575754768818178600960429671665163359618004838241513300403016234477594261990973150744549E-7,0.000004973575032862752127056543779321913492750862500,4.0944431217728757961579435729466375548489369219936274850902534189088713102529626E-12,,False,2,pass
old,1,0,1e-07,0.125,12,0.328125,0.05458359676440764,3.156685919381008e-06,1.3331509569379345e-11,1.2487931429608119070196746549952310355956188525240E-11,5.481320870012953998620689516933758712548904411746277429091212804374156253942160453651651832606618884E-8,6.582500489249777413353288933124288683234375E-8,7.2670523209698557490513621158788034507733453095825327838939535156242105651936847E-12,,False,2,pass
old,1,0,1e-07,0.125,13,0.375,0.08939702190583676,2.000947831315436e-06,4.793704569836867e-12,1.3366907153241865188351597149043971464666511223541E-11,9.503271917896069668366317714443827258345995930833598728107340194254635085265795698780116498755775674E-10,6.29064252218218587350114569188958317134000E-8,8.6106769990612161496783257390110268413011001728925240222928999465706593562920475E-12,,True,1,pass
old,1,1,1e-07,0.0625,0,0.0,0.0,0.25,0.0,0E-126,0E+10,0E+4,0E-126,,True,0,pass
new,0,0,1e-06,0.125,0,0.0,0.0,0.25,0.0,0E-121,0E+10,0E+5,0E-121,0E-121,True,0,pass
new,0,0,1e-06,0.125,1,0.125,1.3766605864487897e-06,0.1250020453223576,1.3443555674965371e-15,1.1744950462847442451395699739951072720857251697865E-15,7.384951258602874778545502347779153731754626187091284086788365817010976444008023230004916770494497463E-12,3.1896619463257432968964835673261599349975585937500000E-12,5.3878437853016967088832705590931395182897980709502717990887049344282123957009411E-16,5.2023246072585565385741908966532206794765916681259512514560867361110477533035146E-16,True,0,pass
new,0,0,1e-06,0.125,2,0.21875,1.2615876663039554e-05,0.03126874342507233,1.2577690849521578e-15,1.0784139581907887655140344904965743238711145434621E-15,3.908367361506609901592349180807461307774906244686139044348513544185329430496422126867042006195952912E-11,2.220349736736038549359727623891622555541992187500000E-11,4.8394366329806192986572373604398830943855167487202559513201300169458472702339442E-16,4.5351134951066965493968078523618120679197651592180350513463339544787664576889064E-16,True,0,pass
new,0,0,1e-06,0.125,3,0.25,0.0007670750871515521,0.0011390516368741247,8.010419601419932e-13,8.0096163823448874636543598191819014270291032894028E-13,0.000001877724635723215380956308276278524818659735501903850971602377893642212624608219816347594492587679262,0.00000196990891900904298871649100752957092225756835937500,4.6098805331501280694167251093494864941685767203368640082986318402626973242795553E-16,4.2955307267012888427486640761748095812543223501809154896557010560910244337995967E-16,True,0,pass
new,0,0,1e-06,0.125,4,0.251953125,0.0017015333971736753,0.0005719029803636158,9.148402771598827e-16,1.0108314073465117790157044030359034967686757996108E-15,1.022637764712037908347806967005230463163114497356477449980120493937360162714631812386923229321617063E-9,3.73241574626391727409686412560618137500000E-10,4.8475183626493866137527043201070267287972368646108042127930691063359669237577780E-16,4.6838539501855624967690819806166613772047033104357178790967749037366183761747678E-16,False,4,pass
new,0,0,1e-06,0.125,5,0.25390625,0.0028779980407470807,0.00036115694187034377,2.1505221967140832e-15,1.8227148926079210934594311998966458653822779448109E-15,2.089790458486129068439092502885315122500894446254559410206100363906990877493186534642277006349708084E-9,3.74852546409019499492871074260210769824218750E-10,9.7854310599064500797685383837884819158006941010838580940780639954057564914069431E-16,9.5933034402541962668237616664304909858978034494884961048545132268837639560802658E-16,False,4,pass
new,0,0,1e-06,0.125,6,0.2578125,0.005417733585448529,0.00020670829194730818,3.5015045522814593e-15,2.5446724189551121437027263106501261854494564956305E-15,1.834456387062714360928862421143770553857727301809604976022549743973442516502167501868957332624782197E-9,9.5206175036685619622047372095751208333984375E-10,2.8183627442607155083342332906645830269290223280311719232450703317008299639297071E-15,2.8131406897935178517542561256927925551284877780756401948484331689554182465972697E-15,False,3,pass
new,0,0,1e-06,0.125,7,0.265625,0.010671061555951761,0.00011309747324429677,1.3570927467067614e-14,1.5052995152970145407387244662109355411138651107248E-14,9.499311805481024325866313810655336354601617631462237011128495808689249845606434320660309104238868856E-10,1.768503703549167640784796030583903402421875E-9,1.3568860603826775092882297044227225741558773875334520332402000034214044883200531E-14,1.3567351242051741032110659231579881181319672324973112941145794680619789844973398E-14,False,2,pass
new,0,0,1e-06,0.125,8,0.28125,0.02138645842101297,6.063552429833247e-05,1.2239551031915524e-12,1.2254046737775686793367658549516313491857929274648E-12,5.887978382958521965175981459315296239072046246366096033725123351384783188718287614561866167974226229E-9,3.11386956071379555108105973605926200206593750E-7,4.7255134228265576278132538289874545851467410091800756515406471320755658592768705E-14,4.7217049221151416165208528328354012815495516351190018399365903806664161626619205E-14,True,1,pass
new,0,0,1e-06,0.125,9,0.3046875,0.037799608040061675,3.6267751977429744e-05,8.323663882889e-11,8.3227561540320802414675059432564069939893860185198E-11,5.782477744304304495704672500803858722722878088838737011605858742421274714973089812555771362687921641E-7,0.000012725677592115640730676201389571984400173984375,5.6630126738114177725705986980321341094374150317529364651487519971009172127687440E-14,5.6626200020341902811219351576479017688620771317867217794100413305611012850987535E-14,False,2,pass
new,0,0,1e-06,0.125,10,0.328125,0.05460015932159715,2.5988484308809862e-05,5.044242254533681e-13,3.6591082719709407879409216843113476763515443426744E-13,1.233134739269330522635870653037742448914506890690650681142294436434708071453116635376140979910136084E-9,3.174503300901593517962886895036455661046875E-8,2.5237447445232182051730952302787436732982881498808332417268730617977175788887321E-13,2.5237306173109306656535835182875628715833015505275181388269108026798716699231512E-13,False,2,pass
new,0,0,1e-06,0.125,11,0.375,0.08940812031628323,1.659441528548654e-05,1.2766568745184534e-12,1.0376187683104680372669195700478920685793200198490E-12,5.828036493117180940809710204191293225602831826209339025785104273375272025233054374702866075601814944E-9,3.8211076374723622850452214499882095066250E-9,4.8329698163591093199601142362055656494449499740919539606420729975049432770577905E-13,4.8329619062289349216694078871145379800765515195343841893721388345951337165790464E-13,True,1,pass
new,0,1,1e-06,0.0625,0,0.0,0.0,0.25,0.0,0E-123,0E+10,0E+4,0E-123,0E-123,True,0,pass
new,0,1,1e-06,0.0625,1,0.125,1.3766605864487897e-06,0.1250020453223576,3.52257225801253e-15,3.1540891516099226849214058513635563367913740210579E-15,7.384951258602874778545502347779153731754626187091284086788365817010976444008023230004916770494497463E-12,3.24260150552913706808825372361863755762577056884765625E-12,9.1483478694749634915040496883017634028611449405478187780127704133951033735270116E-16,8.9251074907779319292330351054652506451819435397334114388429432183880943629972903E-16,True,0,pass
new,0,1,1e-06,0.0625,2,0.21875,1.2615876663039556e-05,0.03126874342507233,3.757814150537393e-15,3.9185801909716929933377995485378189795791942293041E-15,5.581327398525980124788108135307531338508261378351547679260929961626429019383513856891226363751515258E-11,2.5168112682750436680336404991294972422599792480468750E-11,9.8257668188683009322042539309878717657298006399512759921777602211388582577749543E-16,9.5079406577581036719110591238463016614059562401682196205977731861179453221024367E-16,True,0,pass
