{'state': 0, 'd': 0.0, 'status': 'pass'}
{'state': 1, 'd': 0.125, 'status': 'pass'}
{'state': 2, 'd': 0.21875, 'status': 'pass'}
{'state': 3, 'd': 0.25, 'status': 'pass'}
{'state': 4, 'd': 0.251953125, 'status': 'pass'}
{'state': 5, 'd': 0.25390625, 'status': 'pass'}
{'state': 6, 'd': 0.2578125, 'status': 'pass'}
{'state': 7, 'd': 0.265625, 'status': 'pass'}
{'state': 8, 'd': 0.28125, 'status': 'pass'}
{'state': 9, 'd': 0.3046875, 'status': 'pass'}
{'state': 10, 'd': 0.328125, 'status': 'pass'}
{'state': 11, 'd': 0.375, 'status': 'pass'}
